 wait,sum,asum,max,swap,total
.00000,29.9255,.00000,.398052,828.457,858.781
.00000,28.8962,.00000,.453382,1051.86,1081.21
.00000,27.0801,.00000,.381460,1051.32,1078.79
.00000,28.2924,.00000,.452977,1052.81,1081.55
.00000,27.1804,.00000,.373974,1050.83,1078.39
.00000,28.3283,.00000,.446934,1061.58,1090.35
.00000,28.3258,.00000,.372627,1055.81,1084.50
.00000,32.5026,.00000,.457220,1089.54,1122.50
.00000,28.2478,.00000,.395436,1072.44,1101.09
.00000,26.3077,.00000,.457326,1017.98,1044.75
.00000,24.3509,.00000,.384799,1011.42,1036.16
.00000,25.0390,.00000,.443393,1004.66,1030.14
.00000,23.8556,.00000,.382920,994.739,1018.98
.00000,25.6784,.00000,.469465,1012.17,1038.31
.00000,25.7044,.00000,.376531,1012.77,1038.85
.00000,30.4057,.00000,.452186,1079.98,1110.84
.00000,27.5806,.00000,.398392,1076.19,1104.16
.00000,25.8630,.00000,.454728,1004.98,1031.29
.00000,23.5550,.00000,.369258,1010.06,1033.99
.00000,24.0069,.00000,.464472,987.020,1011.49
.00000,22.7637,.00000,.388618,981.348,1004.50
.00000,24.7087,.00000,.464764,1001.17,1026.34
.00000,24.5542,.00000,.371556,1024.47,1049.40
.00000,29.3019,.00000,.461652,1074.87,1104.64
.00000,27.3046,.00000,.391568,1074.62,1102.32
.00000,25.4458,.00000,.456302,1019.42,1045.32
.00000,23.2292,.00000,.378921,1019.69,1043.30
.00000,23.5596,.00000,.446103,1002.23,1026.24
.00000,22.4699,.00000,.375514,988.075,1010.92
.00000,24.4570,.00000,.462408,1022.50,1047.42
.00000,24.3136,.00000,.373348,1009.91,1034.60
.00000,28.8783,.00000,.449735,1068.00,1097.33
.00000,27.2269,.00000,.413277,1069.91,1097.55
.00000,25.4100,.00000,.472875,1028.09,1053.97
.00000,23.4530,.00000,.409962,1011.41,1035.28
.00000,24.2100,.00000,.457690,1015.88,1040.55
.00000,22.8674,.00000,.374395,997.214,1020.46
.00000,24.6550,.00000,.444832,1000.89,1025.99
.00000,24.4896,.00000,.375878,1019.64,1044.51
.00000,29.1776,.00000,.458581,1067.88,1097.51
.00000,27.9719,.00000,.398705,1071.18,1099.55
.00000,26.1107,.00000,.465193,1040.75,1067.33
.00000,23.9474,.00000,.364556,1029.20,1053.51
.00000,24.7594,.00000,.454753,1034.05,1059.26
.00000,23.6343,.00000,.387973,1018.70,1042.73
.00000,25.2194,.00000,.439570,1020.69,1046.35
.00000,24.9588,.00000,.376184,1027.87,1053.21
.00000,29.4412,.00000,.456709,1074.75,1104.65
.00000,28.8983,.00000,.398837,1065.87,1095.16
.00000,27.8267,.00000,.463155,1063.55,1091.84
.00000,25.6028,.00000,.356338,1064.55,1090.51
.00000,26.5126,.00000,.457250,1069.85,1096.82
.00000,25.5075,.00000,.397952,1064.62,1090.53
.00000,27.2505,.00000,.468814,1066.86,1094.58
.00000,26.9464,.00000,.385240,1057.36,1084.69
.00000,31.1067,.00000,.449663,1080.89,1112.45
.00000,31.0698,.00000,.387043,1091.23,1122.69
.00000,29.8283,.00000,.455105,1076.74,1107.03
.00000,28.2963,.00000,.375113,1080.22,1108.89
.00000,29.3551,.00000,.461581,1075.24,1105.06
.00000,28.2336,.00000,.387664,1076.62,1105.24
.00000,29.7565,.00000,.453170,1077.31,1107.52
.00000,29.4056,.00000,.390898,1080.25,1110.04
.00000,33.4919,.00000,.462652,1085.67,1119.63
